Fold,Protein name,Feature0,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20
CYTOCHROME C (ALPHA),1FCDC1,24.358974358974358,48.717948717948715,26.923076923076923,9.090909090909092,10.38961038961039,9.090909090909092,0.0,24.5,44.0,65.0,75.0,1.0,17.25,31.0,58.5,77.0,5.0,28.0,37.0,52.0,72.0
CYTOCHROME C (ALPHA),1FCDC2,37.5,39.58333333333333,22.916666666666664,14.736842105263156,7.368421052631578,12.631578947368421,0.0,23.75,53.5,68.0,95.0,1.0,18.75,43.5,69.75,93.0,6.0,28.5,52.0,74.25,90.0
DNA-BINDING 3-HELICALBUNDLE (ALPHA),1ENH,51.85185185185185,24.074074074074073,24.074074074074073,9.433962264150944,15.09433962264151,5.660377358490567,0.0,15.75,26.5,39.5,52.0,1.0,6.0,22.0,33.0,51.0,5.0,17.0,35.0,44.0,53.0
DNA-BINDING 3-HELICALBUNDLE (ALPHA),1LFB,46.464646464646464,30.303030303030305,23.232323232323232,12.244897959183673,12.244897959183673,5.1020408163265305,1.0,25.75,43.5,74.25,98.0,0.0,20.75,55.0,68.0,95.0,2.0,32.5,55.0,74.5,97.0
DNA-BINDING 3-HELICALBUNDLE (ALPHA),1APLC,43.373493975903614,30.120481927710845,26.506024096385545,10.975609756097562,12.195121951219512,8.536585365853659,1.0,22.75,42.5,58.25,82.0,0.0,18.0,41.0,65.0,78.0,8.0,21.0,40.5,59.5,77.0
DNA-BINDING 3-HELICALBUNDLE (ALPHA),1HDP,47.61904761904761,20.634920634920633,31.746031746031743,8.064516129032258,11.29032258064516,8.064516129032258,0.0,13.0,32.0,50.75,59.0,5.0,14.0,25.0,34.0,62.0,7.0,19.75,35.0,46.25,61.0
DNA-BINDING 3-HELICALBUNDLE (ALPHA),1HCRA,36.53846153846153,36.53846153846153,26.923076923076923,9.803921568627452,7.8431372549019605,13.725490196078432,1.0,9.5,18.0,32.0,51.0,0.0,17.0,31.0,39.0,45.0,5.0,19.25,29.5,36.25,50.0
DNA-BINDING 3-HELICALBUNDLE (ALPHA),1RET,39.53488372093023,32.55813953488372,27.906976744186046,11.904761904761903,9.523809523809524,11.904761904761903,1.0,6.0,15.0,31.0,42.0,0.0,19.25,23.0,31.5,41.0,5.0,12.5,20.5,30.25,38.0
DNA-BINDING 3-HELICALBUNDLE (ALPHA),1MSEC1,44.642857142857146,25.0,30.357142857142854,10.909090909090908,12.727272727272727,7.2727272727272725,3.0,13.0,31.0,43.0,55.0,4.0,21.25,28.5,37.25,51.0,0.0,14.0,26.0,37.0,53.0
DNA-BINDING 3-HELICALBUNDLE (ALPHA),1MSEC2,42.857142857142854,32.6530612244898,24.489795918367346,10.416666666666668,12.5,8.333333333333332,4.0,12.0,23.0,37.0,47.0,0.0,12.5,23.5,32.75,43.0,2.0,15.25,25.5,37.0,48.0
DNA-BINDING 3-HELICALBUNDLE (ALPHA),1LEB,34.523809523809526,36.904761904761905,28.57142857142857,13.253012048192772,8.433734939759036,12.048192771084338,1.0,16.0,40.0,63.0,80.0,2.0,24.5,41.0,60.5,83.0,0.0,17.0,47.5,65.5,81.0
DNA-BINDING 3-HELICALBUNDLE (ALPHA),3GAPB2,33.82352941176471,32.35294117647059,33.82352941176471,8.955223880597014,14.925373134328357,8.955223880597014,0.0,16.0,32.0,48.5,63.0,2.0,16.5,27.0,45.5,64.0,1.0,22.0,38.0,51.5,67.0
DNA-BINDING 3-HELICALBUNDLE (ALPHA),1HSTA,33.33333333333333,47.77777777777778,18.88888888888889,14.606741573033707,7.865168539325842,7.865168539325842,1.0,28.25,47.0,72.75,89.0,0.0,15.5,38.0,68.0,87.0,12.0,35.0,51.0,61.0,76.0
DNA-BINDING 3-HELICALBUNDLE (ALPHA),1HKS,37.735849056603776,28.30188679245283,33.9622641509434,8.571428571428571,12.380952380952381,9.523809523809524,9.0,33.75,56.0,82.25,105.0,0.0,20.75,50.0,70.75,96.0,3.0,23.75,50.5,77.5,102.0
4-HELICAL UP-AND-DOWN BUNDLE,1LPE,42.36111111111111,28.47222222222222,29.166666666666668,11.188811188811188,17.482517482517483,6.293706293706294,1.0,38.0,72.0,109.0,140.0,0.0,44.0,76.0,106.0,143.0,3.0,28.25,66.0,102.75,138.0
4-HELICAL UP-AND-DOWN BUNDLE,1WAS,36.986301369863014,38.35616438356164,24.65753424657534,15.172413793103448,10.344827586206897,7.586206896551724,1.0,31.75,72.0,107.75,143.0,4.0,48.75,76.5,113.25,144.0,0.0,25.75,67.0,105.25,145.0
4-HELICAL UP-AND-DOWN BUNDLE,256BA,46.22641509433962,33.0188679245283,20.754716981132077,16.19047619047619,13.333333333333334,4.761904761904762,1.0,21.0,50.0,80.0,105.0,0.0,35.5,54.0,87.0,104.0,2.0,18.25,52.0,67.75,93.0
4-HELICAL UP-AND-DOWN BUNDLE,2CCYA,32.8125,44.53125,22.65625,18.11023622047244,7.874015748031496,10.236220472440944,0.0,23.75,64.0,98.5,127.0,2.0,39.0,69.0,97.0,121.0,7.0,23.0,52.0,85.0,124.0
4-HELICAL UP-AND-DOWN BUNDLE,2HMZA,35.39823008849557,34.51327433628318,30.08849557522124,16.964285714285715,8.928571428571429,11.607142857142858,5.0,38.75,58.5,84.75,111.0,0.0,25.0,63.0,78.5,110.0,1.0,21.75,47.5,85.25,112.0
4-HELICAL UP-AND-DOWN BUNDLE,2TMVP,29.746835443037973,40.50632911392405,29.746835443037973,12.738853503184714,9.554140127388536,10.191082802547772,8.0,44.5,76.0,109.5,144.0,0.0,38.25,84.5,134.25,157.0,3.0,32.0,74.0,115.5,151.0
4-HELICAL UP-AND-DOWN BUNDLE,3MDDA1,30.833333333333336,38.333333333333336,30.833333333333336,11.76470588235294,6.722689075630252,16.80672268907563,4.0,21.0,47.0,94.0,116.0,0.0,34.25,60.5,85.75,117.0,1.0,41.0,64.0,87.0,119.0
4-HELICAL CYTOKINES (ALPHA),1BGEB,22.857142857142858,42.857142857142854,34.285714285714285,9.195402298850574,8.620689655172415,15.517241379310345,11.0,38.25,94.0,125.75,173.0,1.0,47.5,91.0,134.0,174.0,0.0,45.75,82.5,121.75,171.0
4-HELICAL CYTOKINES (ALPHA),1LKI,30.0,36.666666666666664,33.33333333333333,8.379888268156424,12.849162011173185,11.731843575418994,8.0,53.25,98.5,136.5,177.0,0.0,39.0,73.5,121.5,178.0,2.0,54.0,102.5,134.25,179.0
4-HELICAL CYTOKINES (ALPHA),1HUW,32.53012048192771,33.13253012048193,34.33734939759036,12.727272727272727,9.696969696969697,13.939393939393941,7.0,37.25,72.0,117.75,160.0,1.0,41.5,78.0,123.5,164.0,0.0,45.0,89.0,127.0,165.0
4-HELICAL CYTOKINES (ALPHA),1GMFA,32.28346456692913,37.00787401574803,30.708661417322837,12.698412698412698,10.317460317460316,11.904761904761903,3.0,30.0,57.0,98.0,126.0,0.0,19.0,64.0,87.0,123.0,12.0,43.5,72.0,107.0,124.0
4-HELICAL CYTOKINES (ALPHA),1RCB,37.2093023255814,32.55813953488372,30.23255813953488,10.15625,11.71875,10.15625,1.0,36.75,70.5,101.25,125.0,0.0,34.25,57.5,93.75,128.0,2.0,27.0,65.0,93.5,126.0
4-HELICAL CYTOKINES (ALPHA),1HMCB,39.189189189189186,26.351351351351347,34.45945945945946,12.244897959183673,12.244897959183673,12.244897959183673,1.0,42.5,80.0,114.75,145.0,0.0,23.0,70.0,104.0,147.0,3.0,36.5,71.0,108.0,142.0
4-HELICAL CYTOKINES (ALPHA),1ILK,41.05960264900662,24.503311258278146,34.437086092715234,12.0,14.666666666666666,13.333333333333334,0.0,39.25,77.0,112.75,150.0,1.0,41.0,75.0,110.0,145.0,2.0,36.75,66.5,111.75,148.0
4-HELICAL CYTOKINES (ALPHA),1IFA,39.87341772151899,23.417721518987342,36.708860759493675,7.643312101910828,15.92356687898089,8.280254777070063,1.0,28.0,73.0,110.5,157.0,0.0,47.0,85.0,116.0,153.0,3.0,50.5,80.5,124.0,156.0
4-HELICAL CYTOKINES (ALPHA),1RFBA,47.05882352941176,17.647058823529413,35.294117647058826,7.627118644067797,18.64406779661017,5.932203389830509,0.0,35.5,62.5,90.5,118.0,1.0,19.0,29.0,68.0,108.0,3.0,37.0,64.5,93.25,116.0
ALPHA: EF-HAND (ALPHA),4ICB,43.42105263157895,26.31578947368421,30.263157894736842,12.0,14.666666666666666,5.333333333333334,1.0,19.0,35.0,56.0,75.0,2.0,14.75,35.5,44.25,74.0,0.0,29.0,40.0,62.0,73.0
ALPHA: EF-HAND (ALPHA),1RTP1,36.69724770642202,34.862385321100916,28.440366972477065,11.11111111111111,9.25925925925926,11.11111111111111,3.0,33.75,52.5,79.25,107.0,0.0,20.5,63.5,85.25,108.0,1.0,28.5,48.0,72.5,105.0
ALPHA: EF-HAND (ALPHA),1CTAA,44.11764705882353,29.411764705882355,26.47058823529412,15.151515151515152,15.151515151515152,6.0606060606060606,0.0,5.5,14.0,22.0,30.0,1.0,10.0,18.5,29.75,33.0,5.0,11.0,20.0,25.0,29.0
ALPHA: EF-HAND (ALPHA),1REC,40.79601990049751,31.343283582089555,27.860696517412936,11.5,12.5,8.5,1.0,54.0,117.5,162.75,199.0,0.0,46.0,84.0,125.5,188.0,7.0,53.0,105.0,154.5,200.0
ALPHA: EF-HAND (ALPHA),2SCPA,34.48275862068966,31.60919540229885,33.90804597701149,13.294797687861271,8.670520231213873,12.716763005780345,1.0,35.25,81.5,116.75,166.0,0.0,52.0,89.0,130.5,171.0,2.0,48.5,91.0,134.5,173.0
ALPHA: EF-HAND (ALPHA),2SAS,39.45945945945946,29.18918918918919,31.351351351351354,11.41304347826087,14.130434782608695,10.869565217391305,2.0,38.0,73.0,128.0,183.0,0.0,55.25,103.5,153.25,184.0,1.0,47.0,96.5,132.25,180.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),6FABL,31.308411214953267,43.45794392523364,25.233644859813083,10.328638497652582,9.389671361502346,10.7981220657277,0.0,53.0,109.0,164.5,212.0,4.0,59.0,108.0,167.0,207.0,1.0,45.25,100.0,144.5,213.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),1FC2D,30.80357142857143,40.625,28.57142857142857,13.901345291479823,8.520179372197308,11.210762331838566,10.0,69.0,115.0,163.0,216.0,0.0,51.5,116.0,171.5,223.0,3.0,42.5,99.0,162.0,220.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),3CD4,37.362637362637365,31.868131868131865,30.76923076923077,12.70718232044199,11.049723756906078,11.049723756906078,0.0,43.5,81.5,135.25,180.0,5.0,46.25,104.0,129.75,181.0,2.0,48.25,94.5,145.75,178.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),1CID,35.02824858757062,33.89830508474576,31.07344632768362,11.363636363636363,14.204545454545455,10.227272727272728,6.0,49.25,99.5,139.5,175.0,0.0,35.25,71.0,115.5,172.0,2.0,58.5,97.0,131.5,176.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),1HNF,41.75824175824176,29.67032967032967,28.57142857142857,9.94475138121547,16.022099447513813,9.392265193370166,0.0,41.75,76.5,125.75,181.0,3.0,58.25,112.0,151.25,179.0,2.0,45.25,96.5,131.5,178.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),1DLHA2,28.999999999999996,32.0,39.0,9.090909090909092,11.11111111111111,14.14141414141414,2.0,28.0,58.0,80.0,99.0,1.0,28.25,48.5,70.75,95.0,0.0,24.5,46.0,71.5,98.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),1DLHB,34.04255319148936,35.1063829787234,30.851063829787233,14.43850267379679,10.695187165775401,12.299465240641712,1.0,37.5,71.0,130.25,186.0,0.0,62.5,104.0,146.75,187.0,4.0,38.0,102.0,144.75,185.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),1VAAA2,27.956989247311824,41.935483870967744,30.107526881720432,10.869565217391305,9.782608695652174,15.217391304347828,1.0,22.5,44.5,60.75,91.0,0.0,15.5,51.0,72.0,89.0,7.0,29.75,47.0,67.5,92.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),1VAAB,33.33333333333333,38.38383838383838,28.28282828282828,11.224489795918368,15.306122448979592,9.183673469387756,1.0,20.0,44.0,75.0,97.0,3.0,25.5,55.0,73.5,93.0,0.0,28.25,49.0,65.25,98.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),1CD8,26.31578947368421,40.35087719298245,33.33333333333333,10.619469026548673,7.964601769911504,14.15929203539823,1.0,20.5,56.0,73.25,98.0,0.0,34.25,57.0,89.75,113.0,2.0,24.25,56.5,92.75,111.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),1TLK,40.25974025974026,35.714285714285715,24.025974025974026,15.686274509803921,7.8431372549019605,9.803921568627452,6.0,46.0,84.0,126.5,153.0,1.0,23.0,67.0,112.5,144.0,0.0,47.0,73.0,104.0,134.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),1TNN,30.0,47.0,23.0,17.17171717171717,6.0606060606060606,11.11111111111111,9.0,32.5,61.0,83.75,99.0,1.0,19.0,45.0,66.0,96.0,0.0,28.0,47.0,75.0,97.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),1GOF1,28.75816993464052,49.01960784313725,22.22222222222222,15.131578947368421,6.578947368421052,11.842105263157894,10.0,33.75,72.5,111.75,146.0,0.0,41.0,82.0,112.5,152.0,4.0,38.75,80.5,121.0,145.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),1CGT1,31.25,41.75,27.0,12.781954887218044,9.022556390977442,12.531328320802004,0.0,105.0,207.0,312.0,398.0,1.0,97.5,180.0,298.5,399.0,5.0,97.75,215.0,288.75,396.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),1OXY1,33.02752293577982,33.94495412844037,33.02752293577982,11.11111111111111,11.11111111111111,12.037037037037036,3.0,27.5,54.5,77.25,103.0,0.0,27.0,50.0,81.0,108.0,1.0,30.0,60.5,84.0,107.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),1CLC1,28.431372549019606,43.13725490196079,28.431372549019606,10.891089108910892,8.91089108910891,14.85148514851485,1.0,18.0,47.0,68.0,98.0,2.0,30.75,54.5,76.25,100.0,0.0,26.0,52.0,78.0,101.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),1CTN1,28.037383177570092,45.794392523364486,26.168224299065418,12.264150943396226,11.320754716981133,7.547169811320755,4.0,28.75,51.0,79.75,103.0,0.0,24.0,53.0,73.0,102.0,7.0,29.75,50.0,86.5,106.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),1NCIA,34.54545454545455,33.63636363636363,31.818181818181817,10.091743119266056,12.844036697247708,10.091743119266056,2.0,29.25,66.5,89.5,108.0,0.0,27.0,44.0,64.0,107.0,3.0,29.0,61.0,86.5,109.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),2MCM,15.178571428571427,58.03571428571429,26.785714285714285,9.00900900900901,6.306306306306306,17.117117117117118,13.0,46.0,64.0,86.0,106.0,0.0,23.0,51.0,81.0,111.0,3.0,32.75,57.0,84.25,110.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),1XSOA,28.666666666666668,44.666666666666664,26.666666666666668,14.76510067114094,5.369127516778524,14.093959731543624,1.0,35.0,75.0,114.0,139.0,2.0,44.0,77.0,114.5,149.0,0.0,27.5,58.0,103.5,145.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),1FNA,20.87912087912088,54.94505494505495,24.175824175824175,13.333333333333334,5.555555555555555,15.555555555555555,0.0,25.5,41.0,73.0,89.0,6.0,26.75,48.0,67.75,88.0,2.0,14.5,40.5,63.0,90.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),1TEN,35.55555555555556,38.88888888888889,25.555555555555554,13.48314606741573,12.359550561797752,10.112359550561797,0.0,26.0,49.5,64.5,85.0,3.0,25.0,46.0,71.5,89.0,1.0,20.0,33.0,59.5,87.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),1CFB1,27.27272727272727,46.464646464646464,26.262626262626267,11.224489795918368,8.16326530612245,12.244897959183673,2.0,20.0,31.0,60.0,94.0,5.0,33.75,53.5,83.75,98.0,0.0,22.5,47.5,70.25,96.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),3HHR1,31.914893617021278,38.297872340425535,29.78723404255319,9.67741935483871,10.75268817204301,12.903225806451612,0.0,20.25,40.5,68.75,92.0,1.0,23.75,49.0,65.0,93.0,3.0,28.5,57.0,71.5,91.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),3HHR2,34.95145631067961,32.038834951456316,33.00970873786408,11.76470588235294,14.705882352941178,11.76470588235294,0.0,31.5,50.5,77.5,95.0,1.0,19.0,59.0,82.0,102.0,3.0,21.5,46.5,69.25,101.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),2HFT1,32.038834951456316,42.71844660194174,25.24271844660194,12.745098039215685,13.725490196078432,7.8431372549019605,4.0,30.0,55.0,73.0,102.0,0.0,19.0,50.5,79.25,101.0,6.0,25.25,48.5,69.75,99.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),3DPA1,36.29032258064516,35.483870967741936,28.225806451612907,11.38211382113821,10.569105691056912,11.38211382113821,4.0,27.0,59.0,91.0,122.0,0.0,31.5,61.5,93.25,123.0,1.0,33.0,65.0,90.5,119.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),1RSY,35.526315789473685,33.55263157894737,30.92105263157895,8.609271523178808,13.245033112582782,9.933774834437086,13.0,37.5,76.5,116.5,151.0,0.0,30.0,64.0,107.0,150.0,4.0,46.0,82.0,114.5,147.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),1FRUB,34.34343434343434,35.35353535353536,30.303030303030305,9.183673469387756,17.346938775510203,9.183673469387756,1.0,20.75,43.5,74.5,97.0,3.0,22.0,54.0,71.5,93.0,0.0,30.25,51.5,74.25,98.0
IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),8FABB,21.428571428571427,49.107142857142854,29.464285714285715,13.452914798206278,4.0358744394618835,18.385650224215247,2.0,59.75,88.5,166.0,221.0,0.0,59.25,122.5,167.75,222.0,1.0,47.5,108.5,164.75,223.0
CUPREDOXINS (BELTA),1PLC,28.28282828282828,40.4040404040404,31.313131313131315,10.204081632653061,8.16326530612245,13.26530612244898,1.0,29.75,51.5,67.75,98.0,5.0,22.75,51.5,79.25,96.0,0.0,19.0,40.0,70.0,97.0
CUPREDOXINS (BELTA),1PMY,32.52032520325203,34.959349593495936,32.52032520325203,13.114754098360656,9.01639344262295,13.114754098360656,0.0,36.75,67.0,99.75,122.0,3.0,31.5,54.0,80.5,119.0,2.0,23.5,64.5,88.25,121.0
CUPREDOXINS (BELTA),1AAJ,25.71428571428571,44.761904761904766,29.523809523809526,12.5,6.730769230769231,14.423076923076922,0.0,27.0,47.0,73.5,104.0,2.0,22.0,55.0,81.0,99.0,4.0,30.5,54.0,75.0,103.0
CUPREDOXINS (BELTA),2AZAA,29.457364341085274,41.86046511627907,28.68217054263566,14.0625,8.59375,14.0625,1.0,22.25,53.0,77.5,128.0,0.0,42.5,74.5,102.75,127.0,2.0,30.0,63.0,98.0,126.0
CUPREDOXINS (BELTA),1CBP,25.0,43.75,31.25,12.631578947368421,8.421052631578947,13.684210526315791,13.0,26.25,48.5,68.75,93.0,0.0,18.5,49.5,68.25,94.0,1.0,28.25,42.5,76.75,95.0
CUPREDOXINS (BELTA),1AOZA1,26.153846153846157,43.07692307692308,30.76923076923077,12.4031007751938,7.751937984496124,13.178294573643413,1.0,22.5,52.0,94.0,128.0,0.0,39.75,73.5,102.25,129.0,2.0,25.5,57.5,89.75,120.0
CUPREDOXINS (BELTA),1AOZA2,27.184466019417474,45.14563106796117,27.669902912621357,13.658536585365855,9.268292682926829,11.219512195121952,3.0,45.5,99.5,146.0,198.0,1.0,67.0,117.0,160.0,205.0,0.0,40.0,93.0,135.0,203.0
CUPREDOXINS (BELTA),1AOZA3,29.166666666666668,38.425925925925924,32.407407407407405,10.232558139534884,9.767441860465116,13.023255813953488,1.0,53.5,95.0,141.0,214.0,0.0,56.5,115.0,168.0,215.0,4.0,48.75,111.0,163.5,209.0
CUPREDOXINS (BELTA),1NRD1  (2NRD1),25.333333333333336,40.666666666666664,34.0,9.395973154362416,10.06711409395973,13.422818791946309,0.0,33.5,63.0,89.5,143.0,2.0,49.0,92.0,118.0,145.0,1.0,36.0,73.0,119.5,149.0
VIRAL COAT AND CAPSID PROTEINS (BELTA),2BPA1,29.342723004694836,42.01877934272301,28.638497652582164,11.529411764705882,10.117647058823529,11.294117647058824,1.0,131.0,215.0,330.0,420.0,0.0,100.5,209.0,309.5,425.0,2.0,89.25,210.5,321.0,423.0
VIRAL COAT AND CAPSID PROTEINS (BELTA),2BPA2,23.42857142857143,41.714285714285715,34.85714285714286,10.919540229885058,8.620689655172415,13.218390804597702,2.0,52.0,92.0,137.0,174.0,3.0,38.0,79.0,117.0,172.0,0.0,48.0,90.0,143.0,173.0
VIRAL COAT AND CAPSID PROTEINS (BELTA),2STV,33.33333333333333,36.92307692307693,29.743589743589745,12.371134020618557,9.278350515463918,11.34020618556701,1.0,35.0,82.0,128.0,193.0,0.0,48.5,103.5,159.25,194.0,12.0,66.25,104.5,145.75,190.0
VIRAL COAT AND CAPSID PROTEINS (BELTA),4SBVA,25.0,45.0,30.0,11.583011583011583,7.722007722007722,15.83011583011583,2.0,32.0,135.0,190.0,258.0,0.0,70.0,129.0,201.0,256.0,3.0,77.5,126.0,185.5,259.0
VIRAL COAT AND CAPSID PROTEINS (BELTA),2TBVA,24.54780361757106,44.18604651162791,31.266149870801037,8.549222797927461,7.512953367875648,15.284974093264248,4.0,64.5,180.0,235.5,384.0,0.0,99.5,204.0,296.0,380.0,1.0,114.0,206.0,311.0,386.0
VIRAL COAT AND CAPSID PROTEINS (BELTA),2BBVC,28.37465564738292,41.8732782369146,29.75206611570248,10.497237569060774,8.287292817679557,14.088397790055248,2.0,43.5,126.0,251.5,362.0,11.0,116.75,187.0,278.25,360.0,0.0,113.75,197.5,275.5,358.0
VIRAL COAT AND CAPSID PROTEINS (BELTA),1BBT1,27.956989247311824,46.236559139784944,25.806451612903224,11.891891891891893,9.72972972972973,9.72972972972973,5.0,39.25,87.0,142.25,181.0,0.0,57.25,102.0,137.75,185.0,10.0,49.75,82.0,137.0,183.0
